name,owner_login,owner_type,language,stargazers_count,forks_count,open_issues_count,size_kb,license_name,has_wiki,is_fork,archived,created_at
PDFMathTranslate,PDFMathTranslate,Organization,Python,36793,3307,151,88562,AGPL-3.0,True,False,False,2024-09-06T06:56:03Z
Real-ESRGAN,xinntao,User,Python,36727,4464,646,5514,BSD-3-Clause,True,False,False,2021-07-19T03:23:30Z
searxng,searxng,Organization,Python,36690,3354,216,121125,AGPL-3.0,False,False,False,2021-04-12T15:18:15Z
HanLP,hankcs,User,Python,36489,10905,12,72904,Apache-2.0,True,False,False,2014-10-09T06:36:16Z
ECC,affaan-m,User,JavaScript,254574,38136,191,50230,MIT,True,False,False,2026-01-18T00:51:51Z
react,react,Organization,JavaScript,249673,51315,1351,1080211,MIT,False,False,False,2013-05-24T16:15:54Z
javascript-algorithms,trekhleb,User,JavaScript,196663,31032,403,14964,MIT,False,False,False,2018-03-24T07:47:04Z
JavaGuide,Snailclimb,User,JavaScript,158380,46140,18,183184,Apache-2.0,True,False,False,2018-05-07T13:27:00Z
javascript,airbnb,Organization,JavaScript,148197,26585,163,3738,MIT,True,False,False,2012-11-01T23:13:50Z
next.js,vercel,Organization,JavaScript,142232,31896,3303,2553986,MIT,False,False,False,2016-10-05T23:32:51Z
ponytail,DietrichGebert,User,JavaScript,132563,7091,242,2694,MIT,True,False,False,2026-06-12T00:52:37Z
30-seconds-of-code,Chalarangelo,User,JavaScript,129020,12481,2,742698,CC-BY-4.0,False,False,False,2017-11-29T17:35:03Z
node,nodejs,Organization,JavaScript,121189,36701,1198,1549299,NOASSERTION,False,False,False,2014-11-26T19:57:11Z
three.js,mrdoob,User,JavaScript,115319,36534,386,1665719,MIT,True,False,False,2010-03-23T18:58:01Z
axios,axios,Organization,JavaScript,109233,11846,94,28563,MIT,False,False,False,2014-08-18T22:30:27Z
create-react-app,react,Organization,JavaScript,103264,26907,2411,25186,MIT,False,False,False,2016-07-17T14:55:11Z
material-ui,mui,Organization,JavaScript,99025,32550,1470,744005,MIT,False,False,False,2014-08-18T19:11:54Z
Web-Dev-For-Beginners,microsoft,Organization,JavaScript,96644,15892,126,2204688,MIT,True,False,False,2020-11-10T02:44:00Z
clean-code-javascript,ryanmcdermott,User,JavaScript,94765,12607,123,520,MIT,True,False,False,2016-11-25T22:25:41Z
claude-mem,thedotmack,User,JavaScript,93539,8220,356,471209,Apache-2.0,True,False,False,2025-08-31T20:50:03Z
agent-skills,addyosmani,User,JavaScript,93083,9913,132,1065,MIT,True,False,False,2026-02-15T20:20:26Z
uptime-kuma,louislam,User,JavaScript,91158,8384,801,38480,MIT,True,False,False,2021-07-03T01:02:42Z
svelte,sveltejs,Organization,JavaScript,88092,5240,1070,122645,MIT,True,False,False,2016-11-20T18:13:05Z
taste-skill,Leonxlnx,User,JavaScript,85560,5854,62,33814,MIT,True,False,False,2026-02-19T21:44:05Z
github-readme-stats,anuraghazra,User,JavaScript,79846,37530,292,7741,MIT,False,False,False,2020-07-09T10:34:22Z
Font-Awesome,FortAwesome,Organization,JavaScript,76913,12181,315,162598,NOASSERTION,False,False,False,2012-02-17T14:19:43Z
json-server,typicode,User,JavaScript,75707,7268,720,4258,MIT,False,False,False,2013-11-27T13:21:13Z
anime,juliangarnier,User,JavaScript,72737,4911,118,185076,MIT,True,False,False,2016-03-13T21:37:45Z
reveal.js,hakimel,User,JavaScript,72278,17014,916,35652,MIT,True,False,False,2011-06-07T18:54:22Z
career-ops,career-ops-hq,Organization,JavaScript,70665,13337,465,67088,MIT,True,False,False,2026-04-04T18:21:18Z
express,expressjs,Organization,JavaScript,69451,24946,229,9862,MIT,True,False,False,2009-06-26T18:56:01Z
Chart.js,chartjs,Organization,JavaScript,67685,11936,588,43590,MIT,False,False,False,2013-03-17T23:56:36Z
uBlock,gorhill,User,JavaScript,67680,4334,15,159365,GPL-3.0,True,False,False,2015-04-01T17:51:11Z
impeccable,pbakaus,User,JavaScript,66688,4089,16,360725,Apache-2.0,True,False,False,2025-11-16T01:52:04Z
33-js-concepts,leonardomso,User,JavaScript,66520,9134,5,2927,MIT,True,False,False,2018-09-04T13:27:04Z
webpack,webpack,Organization,JavaScript,65948,9548,126,98449,MIT,False,False,False,2012-03-10T10:08:14Z
anything-llm,Mintplex-Labs,Organization,JavaScript,65815,7292,309,93416,MIT,False,False,False,2023-06-04T02:29:14Z
get-shit-done,gsd-build,Organization,JavaScript,64574,5456,0,20286,MIT,True,False,True,2025-12-14T14:17:12Z
system_prompts_leaks,asgeirtj,User,JavaScript,64506,10576,51,11308,CC0-1.0,False,False,False,2025-05-03T02:43:56Z
drawio-desktop,jgraph,Organization,JavaScript,63003,5760,3,3246,Apache-2.0,True,False,False,2017-05-25T20:58:42Z
resume.github.com,resume,Organization,JavaScript,62895,1368,76,411,,True,False,False,2011-02-06T13:39:55Z
up,byoungd,User,JavaScript,62532,6332,31,109009,NOASSERTION,True,False,False,2017-05-30T07:18:52Z
lodash,lodash,Organization,JavaScript,61279,7188,104,49920,NOASSERTION,True,False,False,2012-04-07T04:11:46Z
atom,atom,Organization,JavaScript,60747,17162,993,330585,MIT,False,False,True,2012-01-20T18:18:21Z
